# FINAL_13_ROOTS.txt
# repository=leegahuyn/mathlib4
# branch=56/merge
# source_commit=61a48f07e42bc5bf1610a8df3e7cf5ec7e1461c3
# exact_primary_root_count=13
index	canonical_path	logical_module	sha256	git_blob	bytes	lines	local_dependencies
1	PrimalitySheafVerification/Spt1.lean	PrimalitySheafVerification.Spt1	6edd211fba5824a092c22e38ed748a7e59eb313860995f94623df43ce1e06535	c69b42e0dc4671ace05fe595d29669558b0d4372	365921	8087	-
2	PrimalitySheafVerification/Spt2.lean	PrimalitySheafVerification.Spt2	292f8f64858888aa73b24e895b6b0b9af2a0f53a51a9f5d1aded452024d77cb7	ee1df370ee56549aebd9db0a0aaa0582ae227a5f	403732	8878	-
3	PrimalitySheafVerification/Spt3.lean	PrimalitySheafVerification.Spt3	da2c9dfc5787d6121b42df4d1729552c28914f9e54edf30d27d7aba3cd2b347b	a73d346d060a9a2b8b3dca636e0e611eb394f69c	430152	7506	-
4	PrimalitySheafVerification/Spt4.lean	PrimalitySheafVerification.Spt4	be2a7647d95ab6bb32ee2801269d45c9b57a8e2a7e08ad764618651ad09d6dc5	dfdbece780686cd0a490ea5ef27a2396728efea2	465620	8714	-
5	PrimalitySheafVerification/Spt5.lean	PrimalitySheafVerification.Spt5	6279d935410d4dab3b5af8a95ef503ccb5a66da1ecfc668aa03e773a837b9203	14ef77d87aaca5db11ca329731e052d000b4bdf5	473184	8071	-
6	PrimalitySheafVerification/Spt6.lean	PrimalitySheafVerification.Spt6	e8c038b4e1e932914ac4394a036a602c19e1bcb6ac3acedbe518eebf9b95a4fe	e4832c95c1dddfc7febec5c6b2891b0149a6c7f9	435585	8651	-
7	PrimalitySheafVerification/Spt7.lean	PrimalitySheafVerification.Spt7	a05f56f4fbda508f919e9fe8259a91af464afca35758346d2326f75211a366bd	1de97d018a37190df3a22824d2ad1d6cf3916955	865526	18114	-
8	PrimalitySheafVerification/Mock1.lean	PrimalitySheafVerification.Mock1	1bcb9a5c18e0dd5ba115541ba806090daf7800ff0324a3db9e1da4d4eb32c1bd	424fa454ee5f73b75a15e49e2eac931f3b4cd269	425518	9831	-
9	PrimalitySheafVerification/Mock1_Advanced.lean	PrimalitySheafVerification.Mock1_Advanced	b14bcea1991b4f9b6fcde207b9d25b31cceb54f7601715fd6b6e2d988ecbfe53	3b6596bbc0790c7d6e427c44e2b0b18b8af3efa6	4428854	90615	-
10	PrimalitySheafVerification/Mock2.lean	PrimalitySheafVerification.Mock2	36a034721c389888b2c235d856753e5f2e38f9f6a258fddabbb70fe751ae3594	94f8894b5f866701955a105044b8958a8deb7734	1119419	26607	-
11	PrimalitySheafVerification/Mock2_Advanced.lean	PrimalitySheafVerification.Mock2_Advanced	cf44063abca1d5b47331a9001a3cff45a86b5e889865812fe4e7826c6af41526	a60fa47ebcd8c1fb6037d705e81b54c80910657a	1390059	31919	-
12	PrimalitySheafVerification/Mock2_FunctionalAnalysis.lean	PrimalitySheafVerification.Mock2_FunctionalAnalysis	c680a35b9f12ea3223d8328ed0f5f0674b3439e650bb62cb900b54917f9653bd	28f614d48e02a0f28d3f5a758e813350b3ea89cf	2821792	63138	-
13	PrimalitySheafVerification/QYM.lean	PrimalitySheafVerification.QYM	ab7c394f68b812046bcfae109b274a2d4fa42479bf8e76461c73a9c190fb3204	7afb309d7c4da97da7bc6b922931734d72830d41	2958818	62604	PrimalitySheafVerification.Mock2,PrimalitySheafVerification.Mock2_FunctionalAnalysis_Integrated

# mandatory bridges (not counted in the primary 13)
name	canonical_path	logical_module	sha256	git_blob	bytes	lines	local_dependencies
Integrated	PrimalitySheafVerification/Mock2_FunctionalAnalysis_Integrated.lean	PrimalitySheafVerification.Mock2_FunctionalAnalysis_Integrated	a77f9e67980ec35b0d7b4d1624c10ec68051f575468d3b74859e6cf30e3e0439	464f5dd095876b20165d12690c8127ef9d909e6a	575	13	PrimalitySheafVerification.Mock2,PrimalitySheafVerification.Mock2_Advanced,PrimalitySheafVerification.Mock2_FunctionalAnalysis
Mock3	PrimalitySheafVerification/Mock3.lean	PrimalitySheafVerification.Mock3	f828c0c29a3293f40206244e82dde92b5a54d8e9c01a879edd11449cd0eb0a8c	bf2a83664292e58f845c457a82de668b0e65be05	438	12	PrimalitySheafVerification.QYM
