stage=Mock2_Advanced
status=PASS
verified_source_head=4d05edba724ec104929d2bbb18f5c918d5789706
source_sha256=cf44063abca1d5b47331a9001a3cff45a86b5e889865812fe4e7826c6af41526
runtime_repair_during_final_direct=0
module,pass,exit_code,error_count,warning_count
Mock2,pass1,0,0,386
Mock2,pass2,0,0,386
Mock2_Advanced,current-probe,0,0,803
Mock2,pass1,0,0,386
Mock2,pass2,0,0,386
Mock2_Advanced,pass1,0,0,803
Mock2_Advanced,pass2,0,0,803
Mock2,pass1,0,0,386
Mock2,pass2,0,0,386
Mock2_Advanced,pass1,0,0,803
Mock2_Advanced,pass2,0,0,803
